,balance,equity,balance_btc,equity_btc
18000,110058.11134661018,110882.82248543922,9.94166080015773,9.94166080015773
18060,110110.91464104594,110468.97160690365,9.948865871180166,9.947418897381665
18120,110110.91464104594,110418.07813494733,9.948865871180166,9.951384821661206
18180,110110.91464104594,110203.60679680777,9.948865871180166,9.949181999684722
18240,110110.91464104594,110345.6519500782,9.948865871180166,9.950641785331644
18300,110110.91464104594,110016.87075737007,9.948865871180166,9.947257849205522
18360,110110.91464104594,110061.78622085477,9.948865871180166,9.947721191832153
18420,110110.91464104594,109836.87203745503,9.948865871180166,9.945397635949963
18480,110110.91464104594,109903.34692341242,9.948865871180166,9.946085255301847
18540,110110.91464104594,110182.60881762869,9.948865871180166,9.948965922359513
18600,110110.91464104594,109736.71055388411,9.948865871180166,9.944360167528083
18660,110110.91464104594,109870.22176909244,9.948865871180166,9.945742699266807
18720,110110.91464104594,110087.16345772364,9.948865871180166,9.947982832327
18780,110110.91464104594,109724.80795606067,9.948865871180166,9.944236769412088
18840,110110.91464104594,108317.60648508437,9.948865871180166,9.929478836146627
18900,110110.91464104594,108365.89060833045,9.948865871180166,9.92999082820844
18960,110110.91464104594,108616.96804921003,9.948865871180166,9.932646696192625
19020,110110.91464104594,108769.45604774065,9.948865871180166,9.934254401821972
19080,110110.91464104594,108639.08891497625,9.948865871180166,9.93288016762573
19140,110110.91464104594,108708.70788337757,9.948865871180166,9.93361440225609
19200,110110.91464104594,108781.58322288153,9.948865871180166,9.93438208941193
19260,110110.91464104594,108713.98545033702,9.948865871180166,9.933670028055309
19320,110110.91464104594,108808.75707828978,9.948865871180166,9.93466811276491
19380,110110.91464104594,109000.54610736955,9.948865871180166,9.936683234471689
19440,110110.91464104594,108729.25670792183,9.948865871180166,9.9338309609032
19500,110110.91464104594,107665.99539857978,9.948865871180166,9.922529634011184
19560,110110.91464104594,107735.6143669811,9.948865871180166,9.923275640192568
19620,110110.91464104594,107505.31032796319,9.948865871180166,9.920804544700308
19680,110110.91464104594,107439.73375127549,9.948865871180166,9.920099215205516
19740,110110.91464104594,107630.96133706172,9.948865871180166,9.922153901904183
19800,110110.91464104594,108118.40640452964,9.948865871180166,9.927362296634326
19860,110110.91464104594,108068.77481737902,9.948865871180166,9.926833877955511
19920,110110.91464104594,107883.1616645284,9.948865871180166,9.924853878981454
19980,110110.91464104594,107626.46979071322,9.948865871180166,9.922105715489357
20040,110110.91464104594,107879.4561387909,9.948865871180166,9.924814289559011
20100,110110.91464104594,107935.71275680553,9.948865871180166,9.925415070310622
20160,110110.91464104594,108287.96227918443,9.948865871180166,9.929164296806308
20220,110110.91464104594,108922.84235554098,9.948865871180166,9.935867560087623
20280,110110.91464104594,108743.74194489565,9.948865871180166,9.933983573488819
20340,110110.91464104594,108598.44042052259,9.948865871180166,9.932451084310214
20400,110110.91464104594,108873.4353457078,9.948865871180166,9.93534838743513
20460,110110.91464104594,108832.11311930184,9.948865871180166,9.934913850030886
20520,110110.91464104594,108858.05179946426,9.948865871180166,9.935186650822434
